"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
"283"	TRUE	"f"	NA	0	"GSM421955"
"284"	TRUE	"m"	"GSM421955"	15	"GSM421957"
"285"	TRUE	"m"	"GSM421957"	15	"GSM421959"
"286"	TRUE	"l"	"GSM421959"	30	"GSM421961"
"287"	TRUE	"f"	NA	0	"GSM421962"
"288"	TRUE	"m"	"GSM421962"	30	"GSM421964"
"289"	TRUE	"l"	"GSM421964"	30	"GSM421966"
"290"	TRUE	"f"	NA	0	"GSM421963"
"291"	TRUE	"m"	"GSM421963"	30	"GSM421965"
"292"	TRUE	"l"	"GSM421965"	30	"GSM421967"
"293"	TRUE	"f"	NA	0	"GSM421968"
"294"	TRUE	"m"	"GSM421968"	30	"GSM421970"
"295"	TRUE	"l"	"GSM421970"	30	"GSM421972"
"296"	TRUE	"f"	NA	0	"GSM421969"
"297"	TRUE	"m"	"GSM421969"	30	"GSM421971"
"298"	TRUE	"l"	"GSM421971"	30	"GSM421973"
"299"	TRUE	"f"	NA	0	"GSM421974"
"300"	TRUE	"m"	"GSM421974"	30	"GSM421976"
"301"	TRUE	"l"	"GSM421976"	30	"GSM421978"
"302"	TRUE	"f"	NA	0	"GSM421975"
"303"	TRUE	"m"	"GSM421975"	30	"GSM421977"
"304"	TRUE	"l"	"GSM421977"	30	"GSM421979"
"305"	TRUE	"f"	NA	0	"GSM434015"
"306"	TRUE	"l"	"GSM434015"	120	"GSM434018"
"307"	TRUE	"f"	NA	0	"GSM434016"
"308"	TRUE	"l"	"GSM434016"	120	"GSM434019"
"309"	TRUE	"f"	NA	0	"GSM434017"
"310"	TRUE	"l"	"GSM434017"	120	"GSM434020"
"311"	TRUE	"f"	NA	0	"GSM434021"
"312"	TRUE	"l"	"GSM434021"	0	"GSM434024"
"313"	TRUE	"f"	NA	0	"GSM434022"
"314"	TRUE	"l"	"GSM434022"	0	"GSM434025"
"315"	TRUE	"f"	NA	0	"GSM434023"
"316"	TRUE	"l"	"GSM434023"	0	"GSM434026"
"317"	TRUE	"f"	NA	0	"GSM479732"
"318"	TRUE	"m"	"GSM479732"	30	"GSM479734"
"319"	TRUE	"l"	"GSM479734"	45	"GSM479736"
"320"	TRUE	"f"	NA	0	"GSM479733"
"321"	TRUE	"m"	"GSM479733"	30	"GSM479735"
"322"	TRUE	"l"	"GSM479735"	45	"GSM479737"
"323"	TRUE	"f"	NA	0	"GSM479738"
"324"	TRUE	"m"	"GSM479738"	30	"GSM479741"
"325"	TRUE	"l"	"GSM479741"	45	"GSM479744"
"326"	TRUE	"f"	NA	0	"GSM479739"
"327"	TRUE	"m"	"GSM479739"	30	"GSM479742"
"328"	TRUE	"l"	"GSM479742"	45	"GSM479745"
"329"	TRUE	"f"	NA	0	"GSM479740"
"330"	TRUE	"m"	"GSM479740"	30	"GSM479743"
"331"	TRUE	"l"	"GSM479743"	45	"GSM479746"
"332"	TRUE	"f"	NA	0	"GSM554210"
"333"	TRUE	"l"	"GSM554210"	30	"GSM554211"
"334"	TRUE	"f"	NA	0	"GSM554210"
"335"	TRUE	"l"	"GSM554210"	30	"GSM554212"
"336"	TRUE	"f"	NA	0	"GSM554210"
"337"	TRUE	"l"	"GSM554210"	30	"GSM554213"
"338"	TRUE	"f"	NA	0	"GSM554210"
"339"	TRUE	"l"	"GSM554210"	30	"GSM554214"
"340"	TRUE	"f"	NA	0	"GSM554210"
"341"	TRUE	"l"	"GSM554210"	30	"GSM554215"
"342"	TRUE	"f"	NA	0	"GSM554210"
"343"	TRUE	"l"	"GSM554210"	30	"GSM554216"
"344"	TRUE	"f"	NA	0	"GSM554210"
"345"	TRUE	"l"	"GSM554210"	30	"GSM554217"
