"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
"2757"	FALSE	"e"	NA	0	"GSM920572"
"2758"	FALSE	"e"	NA	0	"GSM920573"
"2759"	FALSE	"e"	NA	0	"GSM920574"
"2794"	FALSE	"e"	NA	0	"GSM960658"
"2795"	FALSE	"e"	NA	0	"GSM960659"
"2796"	FALSE	"e"	NA	0	"GSM960660"
"2803"	FALSE	"e"	NA	0	"GSM960667"
"2804"	FALSE	"e"	NA	0	"GSM960668"
"2805"	FALSE	"e"	NA	0	"GSM960669"
"2822"	FALSE	"e"	NA	0	"GSM98269"
"2823"	FALSE	"e"	NA	0	"GSM98270"
"2824"	FALSE	"e"	NA	0	"GSM98271"
"2839"	FALSE	"e"	NA	0	"GSM98286"
"2867"	FALSE	"e"	NA	0	"GSM992848"
"2868"	FALSE	"e"	NA	0	"GSM992849"
"2869"	FALSE	"e"	NA	0	"GSM992850"
"2894"	FALSE	"e"	NA	0	"GSM1571870"
"2895"	FALSE	"e"	NA	0	"GSM1571871"
"2896"	FALSE	"e"	NA	0	"GSM1571872"
"2897"	FALSE	"e"	NA	0	"GSM1571873"
"2898"	FALSE	"e"	NA	0	"GSM1571874"
"2899"	FALSE	"e"	NA	0	"GSM1571875"
"2900"	FALSE	"e"	NA	0	"GSM1571876"
"2901"	FALSE	"e"	NA	0	"GSM1571877"
"2902"	FALSE	"e"	NA	0	"GSM1571878"
"2903"	FALSE	"e"	NA	0	"GSM1571879"
"2904"	FALSE	"e"	NA	0	"GSM1571880"
"2905"	FALSE	"e"	NA	0	"GSM1571881"
"2906"	FALSE	"e"	NA	0	"GSM1571882"
"2907"	FALSE	"e"	NA	0	"GSM1571883"
"2908"	FALSE	"e"	NA	0	"GSM1571884"
"2909"	FALSE	"e"	NA	0	"GSM1571885"
"2910"	FALSE	"e"	NA	0	"GSM1571886"
"2913"	FALSE	"e"	NA	0	"GSM1627961"
"2914"	FALSE	"e"	NA	0	"GSM1627962"
